1,400 Connecticut Ave NW,null,Washington,USA,null,www.udc.edu/Police,null,"
            University of the District of Columbia Police Department ",null,2022745050,null,DE,Campus Police Department,20008
1,1100 Ohio Dr SW,null,Washington,USA,USA,http://www.nps.gov/subjects/uspp/index.htm,null,"
            US Park Police ",600,2026107505,"Washington, DC; New York, NY; San Francisco, CA",DE,Police Departments,20012
1,220 Elkton Rd,null,Newark,USA,New Castle County,http://www.nps.gov/subjects/uspp/index.htm,302-366-7129,"
            Newark Police Department ",60,302-366-7100,27000,DE,Police Departments,19711-4562
1,300 Virginia Ave,null,Seaford,USA,Sussex County,http://www.nps.gov/subjects/uspp/index.htm,302-629-0672,"
            Seaford Police Department ",21,302-629-6644,19000,DE,Police Departments,19973-1516
1,333 Main St,null,Cheswold,USA,Kent County,http://www.nps.gov/subjects/uspp/index.htm,302-734-0408,"
            Cheswold Police Department ",21,302-734-6991,19000,DE,Police Departments,19973-1516
1,407 Clinton St,null,Delaware City,USA,New Castle County,http://www.nps.gov/subjects/uspp/index.htm,302-832-5545,"
            Delaware City Police Department ",21,302-836-6344,19000,DE,Police Departments,19973-1516
1,1301 E 12th St,null,Wilmington,USA,New Castle County,http://www.nps.gov/subjects/uspp/index.htm,302-429-7716,"
            Howard R Young Correctional Fclty ",21,302-429-7700,19000,DE,County Jails,19809-5315
1,Troop 6,3301 Kirkwood Hwy,Wilmington,USA,New Castle County,http://www.nps.gov/subjects/uspp/index.htm,302-633-5019,"
            Delaware State Police ",21,302-633-5000,19000,DE,Troop Locations,19808-6131
1,Troop 9,414 Main St,Odessa,USA,New Castle County,http://www.nps.gov/subjects/uspp/index.htm,302-378-5214,"
            Delaware State Police ",21,302-378-5749,19000,DE,Troop Locations,19808-6131
1,Troop 2,100 LaGrange Ave,Newark,USA,New Castle County,http://www.nps.gov/subjects/uspp/index.htm,302-378-5749,"
            Delaware State Police ",21,302-378-5214,19000,DE,Troop Locations,19702-3500
1,Headquarters,1441 N DuPont Hwy,Dover,USA,Kent County,http://www.nps.gov/subjects/uspp/index.htm,302-739-5966,"
            Delaware State Police ",575,302-739-5911,19000,DE,Headquarters,19901-2212
1,Board of Parole,820 N French St 5th Fl,Wilmington,USA,New Castle County,http://www.nps.gov/subjects/uspp/index.htm,302-577-3501,"
            Department of Correction ",575,302-577-5233,19000,DE,Adult Probation & Parole,19801-3521
1,660 Baylor Blvd,820 N French St 5th Fl,New Castle,USA,New Castle County,http://www.nps.gov/subjects/uspp/index.htm,302-577-5851,"
            Delores J Baylor Womens Corrections Institution ",575,302-577-3004,19000,DE,Women's Institutions,19720-1140
1,38 Todds Ln,820 N French St 5th Fl,Wilmington,USA,New Castle County,http://www.nps.gov/subjects/uspp/index.htm,302-577-2849,"
            Plummer Community Correction Center ",575,302-577-3039,19000,DE,Adult Institutions,19802-3210
1,1301 E 12th St,820 N French St 5th Fl,Wilmington,USA,New Castle County,http://www.nps.gov/subjects/uspp/index.htm,302-429-7716,"
            Multi Criminal Justice Facility ",575,302-429-7746,19000,DE,Adult Institutions,19802-5315
1,245 McKee Rd,820 N French St 5th Fl,Dover,USA,Kent County,http://www.nps.gov/subjects/uspp/index.htm,302-739-8221,"
            Department of Correction ",1300,302-739-5601,19000,DE,Headquarters,19904-2232
1,1181 Paddock Rd,820 N French St 5th Fl,Smyrna,USA,Kent County,http://www.nps.gov/subjects/uspp/index.htm,302-653-2855,"
            Delaware Correctional Center ",1300,302-653-9261,19000,DE,Adult Institutions,19977-3474
1,Rte 113,820 N French St 5th Fl,Georgetown,USA,Sussex County,http://www.nps.gov/subjects/uspp/index.htm,302-856-5072,"
            Sussex Correctional Institution ",330,302-856-5280,19000,DE,Adult Institutions,19977-3474
1,325 W Glenwood Ave,820 N French St 5th Fl,Smyrna,USA,Kent County,http://www.nps.gov/subjects/uspp/index.htm,302-653-3491,"
            Smyrna Police Department ",16,302-653-9217,7000,DE,Police Departments,19977-1182
1,105 Rodney Ave,820 N French St 5th Fl,Dewey Beach,USA,Sussex County,http://www.nps.gov/subjects/uspp/index.htm,302-227-6580,"
            Dewey Beach Police Department ",31,302-227-1110,1200,DE,Police Departments,19971-3207
